postcode,latitude,longitude
BH228,50.788320,-1.888642
BH229,50.807278,-1.900703
BH231,50.734425,-1.774602
BH232,50.749163,-1.798954
BH233,50.741418,-1.759716
BH234,50.745062,-1.720409
BH235,50.740919,-1.696270
BH236,50.771926,-1.822922
BH237,50.772663,-1.696207
BH238,50.770036,-1.735788
BH239,50.739943,-1.782100
BH241,50.846719,-1.786689
BH242,50.860218,-1.786628
BH243,50.841715,-1.788502
BH244,50.822229,-1.702061
BH249,50.860218,-1.786628
BH25,50.715954,-1.876689
BH255,50.757299,-1.671227
BH256,50.750596,-1.663775
BH257,50.737378,-1.667342
BH259,50.752045,-1.654849
BH26,50.723163,-1.892480
BH316,50.869308,-1.864504
BH317,50.881840,-1.878086
BH319,50.868374,-1.851348
BH37,50.736186,-1.868431
BH40,50.721921,-1.902399
BH48,50.721055,-1.899001
BH49,50.722344,-1.901874
BH51,50.721491,-1.845480
BH52,50.728262,-1.819998
BH63,50.725375,-1.813634
BH64,50.721038,-1.796142
BH65,50.731164,-1.812732
BH76,50.729278,-1.830592
BH77,50.743103,-1.821968
BH80,50.755802,-1.855589
BH88,50.734459,-1.852650
BH89,50.736857,-1.865099
BH91,50.744348,-1.864992
BH92,50.743761,-1.888280
BH93,50.753729,-1.866397
BL00,53.655894,-2.303182
BL09,53.628536,-2.333363
BL11,53.577000,-2.433000
BL111,53.572022,-2.425139
BL12,53.585336,-2.419291
BL13,53.593000,-2.434000
BL14,53.581867,-2.456051
BL15,53.581293,-2.462736
BL16,53.588373,-2.463553
BL17,53.611959,-2.427022
BL18,53.605308,-2.416724
BL19,53.588487,-2.425440
BL21,53.578960,-2.420134
BL22,53.590550,-2.414176
BL23,53.595958,-2.412189
BL24,53.609422,-2.388137
BL25,53.585805,-2.386818
BL26,53.580924,-2.389719
BL31,53.560355,-2.379717
BL32,53.567331,-2.422359
BL33,53.557072,-2.471393
BL34,53.572444,-2.479960
BL35,53.571554,-2.447559
BL36,53.565589,-2.434315
BL40,53.549180,-2.433286
BL44,53.588218,-2.538918
BL47,53.553769,-2.400865
BL48,53.536042,-2.382185
BL49,53.540010,-2.400237
BL51,53.550168,-2.469278
BL52,53.538325,-2.532747
BL53,53.562897,-2.547414
BL64,53.575462,-2.500050
BL65,53.581751,-2.574921
BL66,53.595424,-2.508988
BL67,53.604049,-2.550409
BL69,53.588201,-2.538918
BL70,53.641809,-2.384668
BL78,53.638289,-2.494047
BL781,53.554956,-2.403488
BL787,53.588487,-2.425440
BL79,53.624242,-2.435718
BL81,53.597000,-2.310000
BL82,53.592313,-2.329724
BL83,53.613783,-2.349889
BL84,53.625706,-2.338844
BL89,53.592626,-2.310206
BL90,53.594166,-2.298539
BL95,53.635102,-2.301217
BL96,53.609880,-2.289974
BL97,53.591655,-2.261280
BL98,53.562930,-2.291857
BL99,53.570217,-2.292692
BN107,50.793206,-0.008739
BN108,50.791118,-0.001321
BN109,50.794478,0.004143
BN11,50.826332,-0.140818
BN111,50.815167,-0.373505
BN112,50.813106,-0.356045
BN113,50.811364,-0.365844
BN114,50.818433,-0.381726
BN115,50.807339,-0.400516
BN119,50.814132,-0.370690
BN12,50.821807,-0.149787
BN124,50.810713,-0.418442
BN125,50.809027,-0.444260
BN126,50.819142,-0.420656
BN129,50.814337,-0.423075
BN13,50.826560,-0.144402
BN131,50.821063,-0.401240
BN132,50.831762,-0.419633
BN133,50.828165,-0.426841
BN14,50.833016,-0.136946
BN140,50.869099,-0.401445
BN147,50.826278,-0.392642
BN148,50.825950,-0.361941
BN149,50.832876,-0.383909
BN15,50.849526,-0.162357
BN150,50.840408,-0.327461
BN155,50.828059,-0.322236
BN158,50.825593,-0.324739
BN159,50.830320,-0.331442
BN16,50.853182,-0.139410
BN161,50.814306,-0.483874
BN162,50.803430,-0.520018
BN163,50.816443,-0.491939
BN164,50.835806,-0.485706
BN169,50.820400,-0.509444
BN17,50.839832,-0.130141
BN175,50.806647,-0.538396
BN176,50.823061,-0.529890
BN177,50.813142,-0.548583
BN18,50.867188,-0.133409
BN180,50.862265,-0.650007
BN188,50.854159,-0.552922
BN189,50.847857,-0.545816
BN19,50.887078,-0.108643
BN20,50.820703,-0.119561
BN200,50.752021,0.206694
BN207,50.764897,0.275654
BN208,50.784532,0.251978
